#{"t_start": 1760833005.378652, "env_id": "BipedalWalker-v3"}
r,l,t
271.725036,818,2508.418233
269.356802,843,2508.877266
269.396775,831,2509.317767
271.58397,828,2509.755234
-93.723302,178,2509.849334
271.551325,825,2522.909517
61.229045,623,2523.24831
-46.843858,345,2523.434347
273.628523,805,2523.864041
274.275763,802,2524.293314
126.211752,730,2537.284688
274.458711,799,2537.711624
271.571044,820,2538.142372
271.616966,827,2538.579189
272.418401,812,2539.005482
46.759283,516,2551.89665
271.459144,826,2552.343923
269.072717,844,2552.801234
272.758894,817,2553.228383
12.416833,401,2553.438304
96.219327,662,2566.510516
269.521505,838,2566.967859
271.576536,827,2567.402217
266.510893,815,2567.831105
270.605187,827,2568.265537
-78.477391,200,2580.910536
272.072196,827,2581.354293
55.643481,534,2581.631561
272.48489,819,2582.060315
105.330574,693,2582.4216
98.967801,642,2595.358667
271.722876,810,2595.795541
266.616148,866,2596.257995
27.757566,475,2596.512364
-44.373679,235,2596.638636
-79.139251,193,2609.488396
-99.862746,123,2609.554872
-101.237322,129,2609.624844
-95.655272,134,2609.698334
271.224478,823,2610.158655
48.619529,535,2622.997515
271.151732,817,2623.448933
-57.343409,198,2623.553853
79.05943,647,2623.904167
273.155239,806,2624.331608
-95.173509,140,2637.136085
-71.243973,262,2637.279975
-95.738772,120,2637.345875
-93.796386,136,2637.420313
266.490285,829,2637.870271
-34.882338,324,2650.812686
-73.468124,202,2650.920244
-83.186698,168,2651.009852
-96.25201,123,2651.09375
-95.943694,134,2651.182829
-12.669948,324,2664.289315
149.993512,790,2664.719501
-81.027822,181,2664.816444
-75.728829,176,2664.912674
116.645465,676,2665.272121
157.456614,798,2678.365095
269.016432,847,2678.813947
-14.579216,378,2679.018891
24.331518,480,2679.271669
16.537136,438,2679.501583
-96.483511,122,2692.319599
-92.884093,131,2692.390258
-94.063485,128,2692.459585
-93.922049,122,2692.525654
-96.214286,141,2692.602001
-103.524474,107,2705.375344
-101.629053,108,2705.433906
-103.25617,120,2705.499103
-99.488656,106,2705.557067
-101.790778,98,2705.611069
-33.984526,319,2718.535794
-109.614133,122,2718.603702
-112.000426,118,2718.668911
30.535893,505,2718.965464
-27.510372,331,2719.161692
125.82881,718,2732.047198
126.065235,775,2732.47521
15.854903,442,2732.707987
-56.061251,253,2732.840946
102.247562,677,2733.194128
-61.527648,238,2745.809236
145.595718,778,2746.228775
-49.474743,237,2746.356505
34.423594,492,2746.624473
-3.440691,403,2746.840061
-60.411871,208,2759.531201
-101.395818,111,2759.590918
-102.371673,109,2759.649707
-101.236105,111,2759.709124
69.528834,642,2760.066501
-100.077998,125,2772.856496
-98.136923,125,2772.923104
269.855303,838,2773.397686
266.813291,815,2773.839029
269.961321,833,2774.273883
-1.738393,357,2787.040183
-61.153067,183,2787.141616
119.660537,674,2787.521337
-25.927306,272,2787.6671
-100.555066,123,2787.732805
-35.111926,257,2800.58418
-87.153627,193,2800.689476
252.60502,875,2801.167299
-29.39014,300,2801.327498
-35.976045,312,2801.492875
271.032701,811,2814.660467
-85.505915,164,2814.75091
4.843777,421,2814.977131
0.423518,385,2815.183618
5.917672,407,2815.402594
56.699986,555,2828.487248
270.657791,829,2828.944297
54.107946,556,2829.311918
-52.644477,257,2829.463032
119.73825,786,2829.920507
