time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/value_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/explained_variance,train/std,train/loss,eval/mean_ep_length,eval/mean_reward
77,677,232,1163.61,157696,10.98168336,-5.644377408921718,760,0.09647303927922621,0.2,0.0061795004,-0.007698969007469714,0.043701171875,3e-05,0.8732321858406067,0.9930630922317505,-0.03866373002529144,,
78,679,234,1155.21,159744,12.504972260000002,-5.648622426390648,770,0.10990944145596586,0.2,0.0077081975,-0.010015095642302185,0.068017578125,3e-05,0.7604053616523743,0.9936242699623108,-0.04978317767381668,,
,,,,160000,,-5.649976266920566,780,0.14578700345009565,0.2,0.0076287296,-0.011096398522204254,0.075537109375,3e-05,0.8646447062492371,0.9938445687294006,-0.010538153350353241,1229.4,103.68067860000001
79,671,240,1155.21,161792,14.332442030000003,,,,,,,,,,,,,
80,673,243,1153.41,163840,16.391247710000002,-5.64881561100483,790,0.032935824178275654,0.2,0.007489412,-0.010623335497803055,0.059375,3e-05,0.6484230756759644,0.9929021000862122,-0.07086776196956635,,
81,675,245,1143.07,165888,17.93905935,-5.647004234790802,800,0.10257094044936821,0.2,0.009538535,-0.013053693668916821,0.103857421875,3e-05,0.9022690653800964,0.9931628108024597,-0.02564181387424469,,
82,677,248,1143.07,167936,19.16463224,-5.6498373165726665,810,0.2217999862623401,0.2,0.006073484,-0.007694279591669328,0.05400390625,3e-05,0.9277430176734924,0.994395911693573,0.018098823726177216,,
83,678,250,1141.79,169984,19.5599752,-5.653388620913029,820,0.103039602690842,0.2,0.0074561723,-0.011500961895217187,0.061572265625,3e-05,0.704299807548523,0.9946719408035278,-0.053949274122714996,,
,,,,170000,,-5.652890934050083,830,0.10997884613461792,0.2,0.007606674,-0.012362917741120328,0.070068359375,3e-05,0.9182842373847961,0.9943082332611084,-0.02530042827129364,1600.0,215.5630948
84,668,257,1130.1,172032,20.15696379,,,,,,,,,,,,,
85,670,259,1130.1,174080,22.97483205,-5.65490094423294,840,0.10319843164761551,0.2,0.007883534,-0.00780719327449333,0.05087890625,3e-05,0.6309148073196411,0.995782732963562,-0.03595425933599472,,
86,671,262,1130.1,176128,23.811687270000004,-5.6593293130397795,850,0.03477756713400595,0.2,0.0074787494,-0.011586243592319079,0.062109375,3e-05,0.7042660117149353,0.9963708519935608,-0.0480380579829216,,
87,673,264,1124.38,178176,23.037045720000002,-5.65757442265749,860,0.01841252911835909,0.2,0.007433393,-0.01057923037733417,0.06484375,3e-05,0.8007816076278687,0.9948016405105591,-0.058680854737758636,,
,,,,180000,,-5.652901954948902,870,0.17696630732389168,0.2,0.0043002823,-0.007641284263809211,0.033056640625,3e-05,0.6140034198760986,0.9941890239715576,0.026345647871494293,1475.8,173.2024684
88,664,271,1124.38,180224,25.20279559,,,,,,,,,,,,,
89,666,273,1130.09,182272,27.330961,-5.649474009871483,880,0.03063964940083679,0.2,0.007394926,-0.012008634528319817,0.06923828125,3e-05,0.5961653590202332,0.9931269884109497,-0.059907518327236176,,
90,667,276,1130.09,184320,28.256101060000002,-5.650531516969204,890,0.08818535464233719,0.2,0.007883585,-0.010307519958587363,0.075,3e-05,0.8795466423034668,0.9946215152740479,-0.07429189234972,,
91,669,278,1130.09,186368,29.296877570000003,-5.654096801578999,900,0.023911145591409878,0.2,0.006065336,-0.009635147516382859,0.048095703125,3e-05,0.6540728807449341,0.9948705434799194,-0.07126771658658981,,
92,671,280,1130.09,188416,30.03399313,-5.658027350902557,910,0.02279220676282421,0.2,0.0069058808,-0.012524108623620123,0.074267578125,3e-05,0.7681785225868225,0.9967361688613892,-0.05161237716674805,,
,,,,190000,,-5.663360810279846,920,0.016746623217477462,0.2,0.008405063,-0.014602605524123647,0.0822265625,3e-05,0.7964242100715637,0.9971898198127747,-0.07166431099176407,1128.0,95.52763999999999
93,665,286,1145.6,190464,33.31452683,,,,,,,,,,,,,
94,667,288,1145.6,192512,34.10921325999999,-5.661231955885887,930,0.012040370611066465,0.2,0.0070073386,-0.010353425375069492,0.0578125,3e-05,0.8084825277328491,0.9958505630493164,-0.06038455292582512,,
95,668,290,1145.6,194560,34.89071386,-5.657550451159477,940,0.009006624158064368,0.2,0.006207383,-0.011021162488032133,0.06845703125,3e-05,0.8834999799728394,0.9956201314926147,-0.04979129135608673,,
96,670,293,1145.21,196608,35.52477148,-5.6578451722860335,950,0.013275169025291689,0.2,0.007849418,-0.012132571276742965,0.08251953125,3e-05,0.848666787147522,0.9959313869476318,-0.07344859838485718,,
97,672,295,1145.21,198656,36.41882826,-5.6592198520898815,960,0.08360671501141041,0.2,0.0069636935,-0.007547270564828068,0.04296875,3e-05,0.9217993021011353,0.9965335130691528,-0.03627140820026398,,
,,,,200000,,-5.662657570838928,970,0.0144394201648538,0.2,0.007802278,-0.013261845670058392,0.085693359375,3e-05,0.7508192658424377,0.9972569346427917,-0.07112452387809753,880.8,-11.4844078
98,668,300,1153.41,200704,38.97819031,,,,,,,,,,,,,
99,669,302,1153.41,202752,39.81764396,-5.6674801975488664,980,0.087170798931038,0.2,0.0087874355,-0.0122812557630823,0.074755859375,3e-05,0.9029316902160645,0.9990215301513672,-0.02170814946293831,,
100,671,304,1165.09,204800,41.97585295,-5.6685946673154834,990,0.022345151301124133,0.2,0.0058251475,-0.009536089478933718,0.043212890625,3e-05,0.5428014397621155,0.9976048469543457,-0.06498874723911285,,
101,673,307,1180.42,206848,44.649447130000006,-5.662727922201157,1000,0.012662360428657848,0.2,0.0077373907,-0.012006813762127422,0.080322265625,3e-05,0.8096145391464233,0.9963991641998291,-0.07512862235307693,,
102,674,309,1195.82,208896,48.089152889999994,-5.658348228037357,1010,0.01016682707995642,0.2,0.005998246,-0.01091745481826365,0.0533203125,3e-05,0.8500030040740967,0.9952723383903503,-0.06975062936544418,,
,,,,210000,,-5.655280035734177,1020,0.025784556221333334,0.2,0.0075358152,-0.010829721961636096,0.074853515625,3e-05,0.692270040512085,0.9950255751609802,-0.04501822590827942,1485.2,149.8590502
103,667,315,1195.82,210944,48.889508830000004,,,,,,,,,,,,,
104,669,318,1210.89,212992,51.55919793,-5.654412597417831,1030,0.011602061563462485,0.2,0.00825225,-0.014721348986495287,0.092041015625,3e-05,0.8606557846069336,0.994830310344696,-0.07104770839214325,,
105,670,320,1222.3,215040,54.43551216,-5.649715258181095,1040,0.015723662442178467,0.2,0.006857955,-0.007861430756747723,0.043701171875,3e-05,0.8031364679336548,0.9924529194831848,-0.01868143305182457,,
106,672,322,1219.62,217088,55.242630979999994,-5.645765687525272,1050,0.0331140198657522,0.2,0.0053332215,-0.008365954738110304,0.034375,3e-05,0.936674952507019,0.9930839538574219,-0.04887542873620987,,
107,673,325,1219.62,219136,55.90991486999999,-5.6463167950510975,1060,0.0779260664829053,0.2,0.009259999,-0.014540946276974864,0.06826171875,3e-05,0.9245060086250305,0.9927172064781189,-0.023336738348007202,,
,,,,220000,,-5.643187966942787,1070,0.014650681578496005,0.2,0.0066978065,-0.0073967845499282705,0.058154296875,3e-05,0.7202959060668945,0.991585373878479,-0.07158846408128738,1546.4,161.19129660000004
108,666,331,1219.11,221184,57.235613949999994,,,,,,,,,,,,,
109,668,334,1219.11,223232,58.10670945,-5.6424253523349766,1080,0.06108390381559729,0.2,0.008937808,-0.01301024944987148,0.0876953125,3e-05,0.9164657592773438,0.9924904108047485,0.0032145269215106964,,
110,669,336,1210.84,225280,57.82916173999999,-5.643408453464508,1090,0.020826352972653693,0.2,0.0076458016,-0.011099580160225742,0.06845703125,3e-05,0.6934678554534912,0.9917788505554199,-0.06260515749454498,,
111,670,338,1210.84,227328,58.29954583999999,-5.6429750844836235,1100,0.1948640792630613,0.2,0.007913625,-0.007929421466542408,0.067333984375,3e-05,0.7889662981033325,0.9924744367599487,-0.04082033783197403,,
